FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2018,1,0.00,0.00,0.00,0.00
2018,2,0.00,0.00,0.00,0.00
2018,3,0.00,0.00,0.00,0.00
2018,4,0.00,0.00,0.00,0.00
2018,5,0.00,0.00,0.00,0.00
2018,6,0.00,0.00,0.00,0.00
2018,7,0.00,0.00,0.00,0.00
2018,8,0.00,0.00,0.00,0.00
2018,9,120.00,120.00,0.00,9.18
2018,10,151.62,120.00,0.00,40.80
2018,11,158.82,120.00,0.00,48.00
2018,12,164.82,120.00,0.00,54.00
2018,13,120.00,120.00,0.00,9.18
2018,14,151.62,120.00,0.00,40.80
2018,15,158.82,120.00,0.00,48.00
2018,16,164.82,120.00,0.00,54.00
2018,17,240.00,240.00,0.00,18.36
2018,18,303.24,240.00,0.00,81.60
2018,19,317.64,240.00,0.00,96.00
2018,20,329.64,240.00,0.00,108.00
2018,21,240.00,240.00,0.00,18.36
2018,22,303.24,240.00,0.00,81.60
2018,23,317.64,240.00,0.00,96.00
2018,24,329.64,240.00,0.00,108.00
2018,25,360.00,360.00,0.00,27.54
2018,26,454.86,360.00,0.00,122.40
2018,27,476.46,360.00,0.00,144.00
2018,28,494.46,360.00,0.00,162.00
2018,29,360.00,360.00,0.00,27.54
2018,30,454.86,360.00,0.00,122.40
2018,31,476.46,360.00,0.00,144.00
2018,32,494.46,360.00,0.00,162.00
2018,33,480.00,480.00,0.00,36.72
2018,34,606.48,480.00,0.00,163.20
2018,35,635.28,480.00,0.00,192.00
2018,36,659.28,480.00,0.00,216.00
2018,37,480.00,480.00,0.00,36.72
2018,38,606.48,480.00,0.00,163.20
2018,39,635.28,480.00,0.00,192.00
2018,40,659.28,480.00,0.00,216.00
2018,41,600.00,600.00,0.00,45.90
2018,42,758.10,600.00,0.00,204.00
2018,43,794.10,600.00,0.00,240.00
2018,44,824.10,600.00,0.00,270.00
2018,45,600.00,600.00,0.00,45.90
2018,46,758.10,600.00,0.00,204.00
2018,47,794.10,600.00,0.00,240.00
2018,48,824.10,600.00,0.00,270.00
2018,49,720.00,720.00,0.00,55.08
2018,50,909.72,720.00,0.00,244.80
2018,51,952.92,720.00,0.00,288.00
2018,52,988.92,720.00,0.00,324.00
2018,53,720.00,720.00,0.00,55.08
2018,54,909.72,720.00,0.00,244.80
2018,55,952.92,720.00,0.00,288.00
2018,56,988.92,720.00,0.00,324.00
2018,57,840.00,840.00,0.00,64.26
2018,58,1061.34,840.00,0.00,285.60
2018,59,1111.74,840.00,0.00,336.00
2018,60,1153.74,840.00,0.00,378.00
